"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","M.Stafford","","301","0.203","0.410","0.407","56.1%","69.6","67.2","2.4","9.0"
"2","K.Murray","","337","0.182","0.241","0.227","51.9%","76.2","67.6","8.6","8.2"
"3","T.Bridgewater","","304","0.175","0.228","0.226","52.0%","72.7","64.4","8.3","8.8"
"4","D.Prescott","","262","0.171","0.227","0.207","55.7%","74.9","67.3","7.6","7.6"
"5","J.Allen","","345","0.162","0.242","0.231","51.6%","69.0","64.0","5.0","9.0"
"6","A.Rodgers","","297","0.160","0.227","0.213","50.8%","70.9","65.3","5.6","8.1"
"7","T.Brady","","374","0.157","0.263","0.248","53.5%","69.2","66.6","2.5","8.7"
"8","P.Mahomes","","397","0.156","0.238","0.224","55.7%","70.8","66.7","4.1","7.6"
"9","J.Burrow","","289","0.148","0.210","0.182","49.1%","69.9","65.2","4.6","8.3"
"10","D.Carr","","313","0.133","0.201","0.176","48.2%","70.6","68.0","2.5","9.2"
"11","R.Tannehill","","323","0.132","0.210","0.191","55.1%","68.0","66.3","1.6","7.9"
"12","L.Jackson","","326","0.124","0.167","0.147","51.8%","67.6","64.4","3.2","10.7"
"13","J.Winston","","204","0.118","0.243","0.233","50.0%","62.1","65.2","-3.1","8.6"
"14","J.Garoppolo","","200","0.111","0.204","0.191","48.5%","66.9","68.5","-1.6","7.5"
"15","M.Jones","","325","0.107","0.126","0.098","48.9%","69.6","66.6","2.9","7.9"
"16","K.Cousins","","309","0.107","0.132","0.130","46.9%","72.7","70.2","2.5","6.7"
"17","M.Ryan","","310","0.091","0.104","0.078","49.4%","70.2","68.7","1.5","6.8"
"18","B.Mayfield","","252","0.088","0.086","0.083","47.2%","69.4","67.1","2.3","8.9"
"19","J.Herbert","","331","0.086","0.140","0.126","46.5%","65.6","67.4","-1.8","7.6"
"20","C.Wentz","","333","0.084","0.117","0.096","46.5%","65.4","65.9","-0.5","7.9"
"21","J.Hurts","","361","0.079","0.106","0.088","47.6%","65.4","66.2","-0.8","8.3"
"22","D.Jones","","351","0.058","0.060","0.052","45.0%","66.3","67.7","-1.4","7.6"
"23","T.Heinicke","","337","0.051","0.032","0.023","46.3%","65.3","66.1","-0.8","7.8"
"24","B.Roethlisberger","","301","0.046","0.030","0.017","41.2%","65.5","67.2","-1.7","6.9"
"25","S.Darnold","","337","0.034","0.028","0.014","47.2%","63.5","67.3","-3.8","8.0"
"26","J.Goff","","361","0.031","-0.076","-0.101","46.3%","71.3","70.5","0.7","6.4"
"27","D.Mills","","255","0.025","-0.164","-0.178","42.7%","70.7","70.6","0.1","7.5"
"28","T.Lawrence","","325","0.012","-0.023","-0.039","48.3%","61.5","66.3","-4.8","8.1"
"29","J.Fields","","236","0.006","-0.149","-0.159","41.5%","61.0","64.3","-3.3","9.2"
"30","Z.Wilson","","218","-0.012","-0.168","-0.181","40.4%","59.1","65.8","-6.7","8.9"